Borough,Date,Neighborhood,Test Positive Rate,Total Positive Cases,Total Tested Cases,ZIPCODE,zcta_cum.perc_pos
Manhattan,2020-04-01,Chelsea and Clinton,0.426415094,113,265,10001,
Manhattan,2020-04-01,Lower East Side,0.461254613,250,542,10002,
Manhattan,2020-04-01,Lower East Side,0.424802111,161,379,10003,
Manhattan,2020-04-01,Lower Manhattan,0.421052632,16,38,10004,
Manhattan,2020-04-01,Lower Manhattan,0.308641975,25,81,10005,
Manhattan,2020-04-01,Lower Manhattan,0.25,6,24,10006,
Manhattan,2020-04-01,Lower Manhattan,0.388059701,26,67,10007,
Manhattan,2020-04-01,Lower East Side,0.402222222,181,450,10009,
Manhattan,2020-04-01,Gramercy Park and Murray Hill,0.358156028,101,282,10010,
Manhattan,2020-04-01,Chelsea and Clinton,0.455852156,222,487,10011,
Manhattan,2020-04-01,Greenwich Village and Soho,0.371584699,68,183,10012,
Manhattan,2020-04-01,Greenwich Village and Soho,0.478431373,122,255,10013,
Manhattan,2020-04-01,Greenwich Village and Soho,0.459016393,140,305,10014,
Manhattan,2020-04-01,Gramercy Park and Murray Hill,0.495697074,288,581,10016,
Manhattan,2020-04-01,Gramercy Park and Murray Hill,0.326086957,45,138,10017,
Manhattan,2020-04-01,Chelsea and Clinton,0.437086093,66,151,10018,
Manhattan,2020-04-01,Chelsea and Clinton,0.414634146,187,451,10019,
Manhattan,2020-04-01,Upper East Side,0.37544484,211,562,10021,
Manhattan,2020-04-01,Gramercy Park and Murray Hill,0.362831858,123,339,10022,
Manhattan,2020-04-01,Upper West Side,0.377733598,190,503,10023,
Manhattan,2020-04-01,Upper West Side,0.31825273,204,641,10024,
Manhattan,2020-04-01,Upper West Side,0.334217507,252,754,10025,
Manhattan,2020-04-01,Central Harlem,0.42,126,300,10026,
Manhattan,2020-04-01,Central Harlem,0.402843602,170,422,10027,
Manhattan,2020-04-01,Upper East Side,0.397058824,189,476,10028,
Manhattan,2020-04-01,East Harlem,0.434131737,290,668,10029,
Manhattan,2020-04-01,Central Harlem,0.519607843,106,204,10030,
Manhattan,2020-04-01,Inwood and Washington Heights,0.535802469,217,405,10031,
Manhattan,2020-04-01,Inwood and Washington Heights,0.562043796,308,548,10032,
Manhattan,2020-04-01,Inwood and Washington Heights,0.533333333,264,495,10033,
Manhattan,2020-04-01,Inwood and Washington Heights,0.41221374,108,262,10034,
Manhattan,2020-04-01,East Harlem,0.426086957,147,345,10035,
Manhattan,2020-04-01,Chelsea and Clinton,0.421818182,116,275,10036,
Manhattan,2020-04-01,Central Harlem,0.534313725,109,204,10037,
Manhattan,2020-04-01,Lower Manhattan,0.45508982,76,167,10038,
Manhattan,2020-04-01,Central Harlem,0.513274336,116,226,10039,
Manhattan,2020-04-01,Inwood and Washington Heights,0.5842696629999999,208,356,10040,
Manhattan,2020-04-01,Upper East Side,0.422413793,49,116,10044,
Manhattan,2020-04-01,Upper East Side,0.314285714,121,385,10065,
